Ponto / Grupo;Data;Hora;Ativa C (kWh)
PEVVGNTR1--03 (L);19/01/2024;6;6.830,95
PEVVGNTR1--03 (L);19/01/2024;7;6.883,27
PEVVGNTR1--03 (L);19/01/2024;8;6.921,05
PEVVGNTR1--03 (L);19/01/2024;9;6.920,21
PEVVGNTR1--03 (L);19/01/2024;10;7.673,25
PEVVGNTR1--03 (L);19/01/2024;11;7.571,96
PEVVGNTR1--03 (L);19/01/2024;12;7.287,93
PEVVGNTR1--03 (L);19/01/2024;13;7.222,18
PEVVGNTR1--03 (L);19/01/2024;14;7.030,74
PEVVGNTR1--03 (L);19/01/2024;15;7.058,88
PEVVGNTR1--03 (L);19/01/2024;16;7.385,64
PEVVGNTR1--03 (L);19/01/2024;17;7.279,17
PEVVGNTR1--03 (L);19/01/2024;18;7.288,14
PEVVGNTR1--03 (L);19/01/2024;19;6.881,90
PEVVGNTR1--03 (L);19/01/2024;20;6.576,16
PEVVGNTR1--03 (L);19/01/2024;21;6.723,43
PEVVGNTR1--03 (L);19/01/2024;22;7.062,02
PEVVGNTR1--03 (L);19/01/2024;23;7.006,49
PEVVGNTR1--03 (L);19/01/2024;24;7.379,20
PEVVGNTR1--03 (L);20/01/2024;1;6.872,63
PEVVGNTR1--03 (L);20/01/2024;2;6.825,79
PEVVGNTR1--03 (L);20/01/2024;3;6.945,99
PEVVGNTR1--03 (L);20/01/2024;4;6.704,29
PEVVGNTR1--03 (L);20/01/2024;5;7.221,84
